Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BBUP_O;0;623;623;623;482;482.0;0;946.0;0.0;0.0;946.0;2
BBUP_O;1;623;623;623;59;59.0;50.993382270145695;11681.609553938602;0.07685653947674531;8556.00000000001;3125.609553938593;2
BBUP_O;2;623;623;623;28;28.0;52.671036378525756;13010.603722162796;0.11377605133771465;10051.999999999995;2958.6037221628008;2
BBUP_O;3;623;623;623;25;25.0;16.057243210165456;13227.041546470886;0.1168474888591967;10183.999999999965;3043.041546470921;2
BBUP_O;4;623;623;623;24;24.0;0.6690864507381048;13235.377959429803;0.11694877391399536;10298.000000000004;2937.3779594298;2
BBUP_O;5;623;623;623;21;21.0;0.0022639729424251223;13167.253257932885;0.11237849826415;10597.00000000002;2570.253257932866;2
BBUP_O;6;623;623;623;20;20.0;6.490654206878736;13165.673329787953;0.10783499604013537;10588.00000000003;2577.6733297879227;2
BBUP_O;7;623;623;623;17;17.0;6.973179731715936;12917.566385758893;0.08584084158385905;10607.999999999987;2309.566385758906;2
BBUP_O;8;623;623;623;13;13.0;37.39279309955515;13173.245311168705;0.07803684915904106;10921.00000000003;2252.2453111686746;2
BBUP_O;9;623;623;623;12;12.0;9.56304860560116;13187.75225511525;0.073041313869959;10994.00000000003;2193.752255115221;2
BBUP_O;10;623;623;623;12;12.0;7.942145331643587;13108.057999094988;0.06307373421346579;10819.000000000044;2289.057999094944;2
BBUP_O;11;623;623;623;8;8.0;21.224521335020654;15734.796543545119;0.15805156387250566;12341.000000000007;3393.7965435451124;2
BBUP_O;12;623;615;623;8;8.0;-624.8478541100017;12261.0;0.024712503058479437;12261.0;0.0;2
BBUP_O;13;623;623;623;4;4.0;243.60128177627803;23964.4563981561;0.44572666666438565;13245.999999999867;10718.456398156233;2
BBUP_O;14;623;619;623;4;4.0;-5364.525635525494;13244.999999999985;0.018648546621337598;13244.999999999985;0.0;2
BBUP_O;15;623;623;623;4;4.0;-4.797436447436667;13053.102542102519;0.018922704330479073;13244.999999999985;-191.89745789746667;2
BBUP_O;16;623;623;623;3;3.0;91.15129250129667;16383.0695591196;0.18690873586665474;13518.999999999909;2864.06955911969;2
BBUP_O;17;623;620;623;3;3.0;-2098.4429546763254;13518.999999999973;0.02078556106217219;13518.999999999973;0.0;2
BBUP_O;18;623;623;623;3;3.0;-189.06324859657374;7847.102542102819;0.03364299097450147;13519.000000000031;-5671.897457897212;2
BBUP_O;19;623;623;623;0;0.0;3592.201723334862;14532.000000000839;0.08285163776519477;14532.000000000839;0.0;2
